iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
2540,0.179040285664,0.331227479647,0.341517634235,0.730666666667,0.53,0.518,362.91199096
2550,0.17812113337,0.332101090443,0.341173854606,0.729666666667,0.532,0.518666666667,364.221855014
2560,0.177609928907,0.332442266329,0.34156829074,0.731,0.53,0.519333333333,365.615591789
2570,0.177944517316,0.33297286389,0.343201365193,0.734333333333,0.528,0.518,366.967027365
2580,0.177190207159,0.332351160191,0.34362010584,0.736,0.532,0.514666666667,368.324443377
2590,0.176923190473,0.331735559862,0.342964822651,0.735333333333,0.532,0.515333333333,369.684758746
2600,0.177252552636,0.331753065613,0.343097004269,0.737333333333,0.532,0.515333333333,371.054067292
2610,0.177160987774,0.33138457037,0.343429919627,0.738,0.53,0.517333333333,372.445551428
2620,0.176908360401,0.331999902672,0.343808135044,0.737333333333,0.534,0.518,373.82864604
2630,0.176346553388,0.331772002411,0.344071814926,0.737,0.534,0.519333333333,375.145806481
2640,0.176128765533,0.331539356425,0.344461887155,0.737,0.534,0.517333333333,376.510382193
2650,0.176023178181,0.330991581509,0.343548649125,0.739,0.54,0.516,377.853932339
2660,0.175963269061,0.33076755915,0.341836025845,0.74,0.54,0.517333333333,379.232734212
2670,0.175901488382,0.330441247408,0.343118253278,0.740333333333,0.538,0.516,380.641071666
2680,0.17602933829,0.330501091954,0.342476906631,0.739,0.542,0.517333333333,381.962412646
2690,0.176271241461,0.330882793078,0.341410649627,0.738,0.544,0.519333333333,383.301470156
2700,0.176096075885,0.331236989624,0.340637129229,0.739666666667,0.542,0.520666666667,384.695921596
2710,0.176782272566,0.33034261745,0.339627361063,0.740666666667,0.534,0.521333333333,386.057054346
2720,0.175692026196,0.330414080062,0.340567475872,0.74,0.54,0.516,387.42791983
2730,0.176075138406,0.329847346988,0.341416976413,0.739,0.542,0.517333333333,388.770533682
2740,0.175826758423,0.330803179959,0.341746600778,0.742666666667,0.538,0.516,390.176089115
2750,0.177037931573,0.330933897115,0.342193663409,0.739333333333,0.536,0.518666666667,391.658288436
2760,0.177994157305,0.329073193135,0.339326538605,0.738666666667,0.532,0.522666666667,393.034184633
2770,0.175639745068,0.328893755792,0.341340101024,0.740333333333,0.536,0.518666666667,394.393278867
2780,0.175772611354,0.328333008513,0.342866442962,0.741,0.536,0.518,395.745670488
2790,0.176448019928,0.326962704637,0.343372725119,0.74,0.538,0.518666666667,397.143095949
2800,0.17566343577,0.325717822899,0.343286296654,0.742,0.538,0.516666666667,398.64740844
2810,0.175377857145,0.325620662222,0.343248752812,0.741333333333,0.536,0.516666666667,400.075418373
2820,0.175616238551,0.326513937541,0.343350189254,0.74,0.534,0.516666666667,401.474217859
2830,0.175350543138,0.326515593874,0.343273100109,0.740666666667,0.538,0.516666666667,402.844399887
2840,0.175189736299,0.326185898932,0.3430702902,0.741333333333,0.54,0.516,404.176840908
2850,0.174922267911,0.327466001455,0.342902757191,0.742333333333,0.536,0.515333333333,405.539776324
2860,0.175130182075,0.327869557933,0.342091109063,0.741666666667,0.538,0.518,406.937020057
2870,0.175256044075,0.327638614536,0.342611269858,0.742333333333,0.538,0.517333333333,408.325991203
2880,0.17482251363,0.327023150228,0.341859306074,0.744333333333,0.532,0.516666666667,409.712357316
2890,0.174912816541,0.326737143239,0.342101775895,0.742666666667,0.536,0.516666666667,411.12103334
2900,0.174802169981,0.326556034526,0.342799576128,0.743333333333,0.534,0.518,412.508180097
2910,0.174824189013,0.326608266011,0.342093462185,0.743666666667,0.538,0.52,413.850042937
2920,0.175053658855,0.327056357045,0.342520655868,0.743333333333,0.54,0.516666666667,415.243635908
2930,0.17466302598,0.327084572084,0.34272193004,0.743666666667,0.54,0.518,416.715078895
2940,0.174480417604,0.326670475937,0.342901021466,0.744333333333,0.54,0.518,418.067707156
2950,0.174418721547,0.326380007932,0.342664092818,0.745,0.542,0.518666666667,419.493110081
2960,0.175274791715,0.326489997283,0.341809378809,0.744666666667,0.542,0.52,420.874082026
2970,0.174315100116,0.326798068459,0.340990164526,0.744333333333,0.542,0.52,422.232475816
2980,0.174287710848,0.327357104354,0.340924251149,0.744666666667,0.538,0.521333333333,423.597450542
2990,0.174224389251,0.327344214948,0.341196828836,0.745,0.542,0.521333333333,424.933300549
3000,0.174168880797,0.327626828015,0.341223868886,0.745333333333,0.536,0.520666666667,426.361522236
